Date,Open,High,Low,Close,Adj Close,Volume
2024-01-29,3.480000,3.730000,3.400000,3.720000,3.720000,328200
2024-01-30,3.680000,3.680000,3.540000,3.640000,3.640000,343000
2024-01-31,3.630000,3.890000,3.600000,3.640000,3.640000,371100
2024-02-01,3.700000,3.860000,3.530000,3.640000,3.640000,380300
2024-02-02,3.640000,3.640000,3.360000,3.530000,3.530000,400900
2024-02-05,3.410000,3.420000,3.171000,3.250000,3.250000,502800
2024-02-06,3.250000,3.480000,3.230000,3.455000,3.455000,285200
2024-02-07,3.500000,3.515000,3.370000,3.490000,3.490000,317500
2024-02-08,3.480000,3.600000,3.440000,3.530000,3.530000,248500
2024-02-09,3.600000,3.650000,3.520000,3.540000,3.540000,284500
2024-02-12,3.520000,3.760000,3.510000,3.670000,3.670000,300300
2024-02-13,3.500000,3.525000,3.350000,3.370000,3.370000,414100
2024-02-14,3.480000,3.530000,3.390000,3.520000,3.520000,317400
2024-02-15,3.560000,3.750000,3.490000,3.630000,3.630000,925700
2024-02-16,3.600000,3.730000,3.410000,3.500000,3.500000,769100
2024-02-20,3.470000,3.910000,3.470000,3.860000,3.860000,725700
2024-02-21,3.830000,3.889000,3.620000,3.660000,3.660000,466800
2024-02-22,3.680000,3.720000,3.440000,3.510000,3.510000,387700
2024-02-23,3.530000,3.660000,3.470000,3.660000,3.660000,249600
2024-02-26,3.660000,3.840000,3.554000,3.650000,3.650000,386500
2024-02-27,3.710000,3.740000,3.500000,3.535000,3.535000,238700
2024-02-28,3.500000,3.570000,3.470000,3.500000,3.500000,251000
2024-02-29,3.510000,3.675000,3.490000,3.630000,3.630000,253800
2024-03-01,3.590000,3.660000,3.510000,3.520000,3.520000,230400
2024-03-04,3.550000,3.580000,3.420000,3.420000,3.420000,461000
2024-03-05,3.500000,3.580000,3.231000,3.270000,3.270000,511700
2024-03-06,3.310000,3.445000,3.250000,3.320000,3.320000,434700
2024-03-07,3.190000,3.500000,3.040000,3.260000,3.260000,839900
2024-03-08,3.330000,3.630000,3.255000,3.360000,3.360000,705600
2024-03-11,3.400000,3.470000,3.180000,3.210000,3.210000,519600
2024-03-12,3.170000,3.300000,3.150000,3.220000,3.220000,363400
2024-03-13,3.240000,3.390000,3.210000,3.300000,3.300000,471200
2024-03-14,3.280000,3.280000,3.155000,3.200000,3.200000,362700
2024-03-15,3.120000,3.350000,3.100000,3.100000,3.100000,576400
2024-03-18,3.090000,3.179000,2.850000,2.890000,2.890000,623800
2024-03-19,2.840000,3.110000,2.750000,3.065000,3.065000,626500
2024-03-20,3.070000,3.680000,3.000000,3.650000,3.650000,867800
2024-03-21,4.320000,5.230000,4.080000,5.100000,5.100000,24627200
2024-03-22,5.120000,7.030000,5.021000,5.570000,5.570000,14899800
2024-03-25,5.570000,6.440000,5.240000,5.460000,5.460000,3368900
2024-03-26,5.480000,6.210000,5.380000,5.750000,5.750000,1720300
2024-03-27,5.800000,6.380000,5.790000,6.020000,6.020000,1726100
2024-03-28,6.000000,6.470000,5.720000,5.990000,5.990000,1073200
2024-04-01,5.940000,6.140000,5.420000,5.510000,5.510000,1203100
2024-04-02,5.360000,5.630000,5.231000,5.470000,5.470000,754700
2024-04-03,5.470000,5.490000,5.080000,5.410000,5.410000,920900
2024-04-04,5.470000,5.530000,5.140000,5.190000,5.190000,746600
2024-04-05,5.150000,5.350000,4.971000,5.220000,5.220000,814500
2024-04-08,5.290000,5.370000,5.165000,5.250000,5.250000,571800
2024-04-09,5.300000,5.405000,4.820000,4.880000,4.880000,1189000
2024-04-10,4.580000,4.733000,4.350000,4.460000,4.460000,1209100
2024-04-11,4.480000,4.570000,4.310000,4.470000,4.470000,619100
2024-04-12,4.400000,4.530000,4.250000,4.290000,4.290000,468300
2024-04-15,4.360000,4.360000,4.050000,4.080000,4.080000,608100
2024-04-16,4.100000,4.130000,3.810000,3.885000,3.885000,1341400
2024-04-17,3.890000,4.085000,3.780000,3.790000,3.790000,1161000
2024-04-18,3.820000,3.920000,3.610000,3.620000,3.620000,760800
2024-04-19,3.600000,3.850000,3.600000,3.790000,3.790000,714700
2024-04-22,3.820000,3.869000,3.600000,3.625000,3.625000,716900
2024-04-23,3.790000,3.905000,3.610000,3.900000,3.900000,1251600
2024-04-24,4.040000,4.120000,3.880000,3.920000,3.920000,1028000
2024-04-25,3.870000,4.030000,3.700000,4.030000,4.030000,642200
2024-04-26,3.970000,4.060000,3.905000,3.940000,3.940000,771200
